benchmark	cohort	position	lane	duration_ns	status	stdout_sha256	binary_sha256
await_channel_mux	11	2	go	5237096	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	11	3	baseline	248181446	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	12	1	go	5032031	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	12	2	baseline	247840839	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	12	3	candidate	235157362	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	13	1	baseline	248162880	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	13	2	candidate	239364668	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	13	3	go	4516453	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	14	1	candidate	240666196	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	14	2	go	4608406	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	14	3	baseline	237297942	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	15	1	go	4927102	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	15	2	baseline	237277601	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	15	3	candidate	241345546	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	16	1	baseline	239260809	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	16	2	candidate	242023938	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	16	3	go	4715389	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	17	1	candidate	253323731	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	17	2	go	5088453	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
